language,judge_id,source_id,model_key,stage,source_type,n_rows,n_valid,n_errors,mean_task_success,mean_factual_grounding,mean_instruction_following,mean_reference_alignment,mean_conditional_appropriateness,mean_response_shape_and_length,mean_discourse_naturalness,mean_safety,overall_0_100,utility_0_100,conditional_naturalness_0_100,distribution_faithfulness_0_100
en,qwen25_7b_instruct,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,51480,51430,50,3.330663,3.644643,3.792378,3.015827,3.949815,3.895217,3.894536,4.835232,67.439243,63.237605,70.731212,67.763125
en,qwen25_7b_instruct,qwen25_1_5b__sft,qwen25_1_5b,sft,model,51480,51425,55,3.337618,3.55088,3.686281,3.017929,3.840253,3.890987,3.868333,4.827166,66.180102,62.179752,69.585416,66.565338
en,qwen25_7b_instruct,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,51480,51421,59,3.208436,3.507225,3.631746,2.954824,3.790183,3.802221,3.766263,4.764046,64.283814,60.188347,67.749995,64.810972
en,qwen25_7b_instruct,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,51480,51431,49,3.359025,3.619199,3.742976,3.117322,3.878497,3.910404,3.87315,4.730377,67.096853,63.329266,70.298993,67.641111
en,qwen25_7b_instruct,gemma2_2b__baselm,gemma2_2b,baselm,model,51480,51388,92,2.811571,3.055149,3.201428,2.40996,3.376781,3.430859,3.426637,4.747295,54.258664,49.674535,58.089072,54.301004
en,qwen25_7b_instruct,gemma2_2b__sft,gemma2_2b,sft,model,51480,51414,66,3.242132,3.459447,3.568697,2.916093,3.724083,3.77934,3.768195,4.777823,63.635236,59.741316,66.941276,63.897382
en,qwen25_7b_instruct,gemma2_2b__dpo,gemma2_2b,dpo,model,51480,51412,68,3.023769,3.340485,3.384502,2.773438,3.542772,3.525344,3.529993,4.665584,59.03557,55.490887,61.920806,59.06588
en,qwen25_7b_instruct,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,51480,51392,88,3.186702,3.412379,3.525004,2.921739,3.675592,3.742003,3.690399,4.662399,62.412311,58.620554,65.720954,62.868588
en,qwen25_7b_instruct,qwen25_3b__baselm,qwen25_3b,baselm,model,51480,51254,226,2.51756,3.097846,2.911461,2.301147,3.045304,2.869142,2.993718,3.994186,47.033417,44.569521,48.324887,46.404427
en,qwen25_7b_instruct,qwen25_3b__sft,qwen25_3b,sft,model,51480,51428,52,3.44046,3.710819,3.861048,3.182527,4.014,4.031578,4.002217,4.80952,69.693222,65.548267,73.240623,70.463658
en,qwen25_7b_instruct,qwen25_3b__dpo,qwen25_3b,dpo,model,51480,51427,53,3.044607,3.432885,3.348494,2.792794,3.538025,3.450911,3.47197,4.621891,59.030908,56.088655,61.162424,58.695773
en,qwen25_7b_instruct,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,51480,51433,47,3.380378,3.643595,3.745377,3.137908,3.883149,3.908366,3.876616,4.699434,67.341255,63.71911,70.389682,67.847053
en,qwen25_7b_instruct,llama32_3b__baselm,llama32_3b,baselm,model,51480,51382,98,2.758884,3.262602,3.189541,2.505177,3.351485,3.317387,3.335254,4.492293,54.084986,50.488984,56.767545,54.081731
en,qwen25_7b_instruct,llama32_3b__sft,llama32_3b,sft,model,51480,51429,51,3.3849,3.664781,3.858582,3.10113,4.03113,4.028661,4.005425,4.861168,69.169578,64.521355,73.155297,70.071506
en,qwen25_7b_instruct,llama32_3b__dist_sft,llama32_3b,dist_sft,model,51480,51409,71,3.313583,3.580171,3.729736,3.0575,3.874672,3.928534,3.870723,4.765819,66.58232,62.441499,70.160964,67.294248
