language,judge_id,source_id,model_key,stage,source_type,n_rows,n_valid,n_errors,mean_task_success,mean_factual_grounding,mean_instruction_following,mean_reference_alignment,mean_conditional_appropriateness,mean_response_shape_and_length,mean_discourse_naturalness,mean_safety,overall_0_100,utility_0_100,conditional_naturalness_0_100,distribution_faithfulness_0_100
en,qwen3_8b,gemma2_2b__baselm,gemma2_2b,baselm,model,51480,51424,56,3.295232,2.98946,3.738818,2.771741,4.118058,3.762679,4.028255,4.996947,64.980481,57.851708,71.663207,66.172458
en,qwen3_8b,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,51480,51438,42,3.692717,3.506124,4.021735,3.360045,4.255511,4.10883,4.190948,4.998231,73.121914,68.181184,77.821261,73.980763
en,qwen3_8b,gemma2_2b__dpo,gemma2_2b,dpo,model,51480,51434,46,3.536804,3.436832,3.82844,3.188066,4.10598,3.802407,4.005988,4.994867,69.212744,64.768271,73.175623,69.36924
en,qwen3_8b,gemma2_2b__hdpo,gemma2_2b,hdpo,model,38887,38864,23,2.82112,2.950983,3.078659,1.465881,3.069267,3.151992,3.295415,4.996706,49.214247,45.264673,49.955325,44.963398
en,qwen3_8b,gemma2_2b__sft,gemma2_2b,sft,model,51480,51436,44,3.692453,3.507213,3.963003,3.308208,4.260673,4.004452,4.182868,4.997181,72.566505,67.696312,77.098336,73.200725
en,qwen3_8b,llama32_3b__baselm,llama32_3b,baselm,model,51480,51426,54,3.014584,2.905301,3.415704,2.693249,3.605141,3.284311,3.516762,4.997861,57.439515,52.96127,61.293315,56.773422
en,qwen3_8b,llama32_3b__dist_sft,llama32_3b,dist_sft,model,51480,51465,15,3.916409,3.76759,4.289148,3.58634,4.507432,4.316468,4.414826,4.999164,78.836204,73.959487,83.312761,79.812883
en,qwen3_8b,llama32_3b__dpo,llama32_3b,dpo,model,51480,51419,61,3.774869,3.69591,4.042261,3.473502,4.334584,4.002703,4.202571,4.997433,74.756851,70.61327,78.479623,75.143041
en,qwen3_8b,llama32_3b__sft,llama32_3b,sft,model,51480,51461,19,3.97911,3.809953,4.42712,3.604205,4.60782,4.358349,4.525466,4.999126,80.65759,75.529697,85.159004,81.52363
en,qwen3_8b,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,51480,51469,11,3.73246,3.665779,4.049525,3.307272,4.277759,3.942956,4.206318,4.999165,73.694015,69.469001,77.085892,73.530378
en,qwen3_8b,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,51480,51433,47,3.913363,3.791982,4.254603,3.616511,4.425174,4.277001,4.356989,4.998892,78.284866,74.025358,82.146992,78.921267
en,qwen3_8b,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,51480,51440,40,3.794946,3.670665,4.156046,3.457251,4.404938,4.166932,4.30243,4.997939,76.026371,71.139774,80.480171,76.846763
en,qwen3_8b,qwen25_1_5b__hdpo,qwen25_1_5b,hdpo,model,37271,37231,40,2.631597,2.766136,2.786388,1.38989,2.785474,2.854691,2.984771,4.993581,43.706226,40.700827,43.755238,38.953157
en,qwen3_8b,qwen25_1_5b__sft,qwen25_1_5b,sft,model,51480,51456,24,3.82385,3.654618,4.150944,3.450735,4.404443,4.163305,4.322023,4.996463,76.113067,71.240599,80.553871,76.850173
en,qwen3_8b,qwen25_3b__baselm,qwen25_3b,baselm,model,51480,51377,103,2.342585,2.253187,2.629679,2.14343,2.708157,2.455846,2.635206,4.997742,39.638802,37.013474,41.730687,37.11656
en,qwen3_8b,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,51480,51419,61,3.914662,3.789708,4.228962,3.623097,4.372469,4.230596,4.310255,4.999261,77.769963,73.919466,81.186867,78.087526
en,qwen3_8b,qwen25_3b__dpo,qwen25_3b,dpo,model,51480,51423,57,3.564436,3.574315,3.743831,3.220835,4.117982,3.693153,3.911771,4.995547,69.228905,65.570003,72.269242,68.949449
en,qwen3_8b,qwen25_3b__hdpo,qwen25_3b,hdpo,model,39863,39822,41,2.763397,2.854277,2.922756,1.486163,3.041409,3.041459,3.152905,4.983853,47.317256,43.435664,48.328217,43.348903
en,qwen3_8b,qwen25_3b__sft,qwen25_3b,sft,model,51480,51456,24,4.021805,3.89459,4.387166,3.704738,4.556942,4.338717,4.470421,4.99932,80.897092,76.609725,84.648875,81.482917
