language,source_id,model_key,stage,source_type,judges,mean_conditional_naturalness_0_100,mean_distribution_faithfulness_0_100,mean_overall_0_100,mean_utility_0_100
en,gemma2_2b__baselm,gemma2_2b,baselm,model,"qwen25_7b_instruct,qwen3_8b",64.87614,60.236731,59.619573,53.763122
en,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,"qwen25_7b_instruct,qwen3_8b",71.771107,68.424676,67.767113,63.400869
en,gemma2_2b__dpo,gemma2_2b,dpo,model,"qwen25_7b_instruct,qwen3_8b",67.548215,64.21756,64.124157,60.129579
en,gemma2_2b__hdpo,gemma2_2b,hdpo,model,"qwen25_7b_instruct,qwen3_8b",45.259858,40.822536,43.572397,39.335475
en,gemma2_2b__sft,gemma2_2b,sft,model,"qwen25_7b_instruct,qwen3_8b",72.019806,68.549054,68.10087,63.718814
en,llama32_3b__baselm,llama32_3b,baselm,model,"qwen25_7b_instruct,qwen3_8b",59.03043,55.427576,55.762251,51.725127
en,llama32_3b__dist_sft,llama32_3b,dist_sft,model,"qwen25_7b_instruct,qwen3_8b",76.736863,73.553565,72.709262,68.200493
en,llama32_3b__dpo,llama32_3b,dpo,model,"qwen25_7b_instruct,qwen3_8b",72.675663,69.67885,69.324897,65.477814
en,llama32_3b__sft,llama32_3b,sft,model,"qwen25_7b_instruct,qwen3_8b",79.15715,75.797568,74.913584,70.025526
en,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,"qwen25_7b_instruct,qwen3_8b",73.908552,70.646751,70.566629,66.353303
en,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,"qwen25_7b_instruct,qwen3_8b",76.222993,73.281189,72.690859,68.677312
en,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,"qwen25_7b_instruct,qwen3_8b",74.115083,70.828868,70.155092,65.664061
en,qwen25_1_5b__hdpo,qwen25_1_5b,hdpo,model,"qwen25_7b_instruct,qwen3_8b",40.372967,36.126364,39.34823,35.951082
en,qwen25_1_5b__sft,qwen25_1_5b,sft,model,"qwen25_7b_instruct,qwen3_8b",75.069643,71.707755,71.146585,66.710175
en,qwen25_3b__baselm,qwen25_3b,baselm,model,"qwen25_7b_instruct,qwen3_8b",45.027787,41.760493,43.33611,40.791498
en,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,"qwen25_7b_instruct,qwen3_8b",75.788274,72.96729,72.555609,68.819288
en,qwen25_3b__dpo,qwen25_3b,dpo,model,"qwen25_7b_instruct,qwen3_8b",66.715833,63.822611,64.129907,60.829329
en,qwen25_3b__hdpo,qwen25_3b,hdpo,model,"qwen25_7b_instruct,qwen3_8b",43.125326,38.731228,41.45328,37.484994
en,qwen25_3b__sft,qwen25_3b,sft,model,"qwen25_7b_instruct,qwen3_8b",78.944749,75.973288,75.295157,71.078996
zh,gemma2_2b__baselm,gemma2_2b,baselm,model,"qwen25_7b_instruct,qwen3_8b",55.768131,52.521955,53.700945,51.043049
