language,judge_id,source_id,model_key,stage,source_type,n_rows,n_valid,n_errors,mean_task_success,mean_factual_grounding,mean_instruction_following,mean_reference_alignment,mean_conditional_appropriateness,mean_response_shape_and_length,mean_discourse_naturalness,mean_safety,overall_0_100,utility_0_100,conditional_naturalness_0_100,distribution_faithfulness_0_100
zh,qwen3_8b,gemma2_2b__baselm,gemma2_2b,baselm,model,6357,6340,17,3.028549,3.014196,3.201735,2.646372,3.265931,3.238486,3.453628,4.990063,55.29724,52.508675,57.51597,53.722397
zh,qwen3_8b,gemma2_2b__dist_sft,gemma2_2b,dist_sft,model,6357,6349,8,3.840605,3.678375,4.128367,3.567333,4.208379,4.194361,4.300835,4.99118,75.662033,71.853441,79.291818,76.071429
zh,qwen3_8b,gemma2_2b__dpo,gemma2_2b,dpo,model,6357,6340,17,2.886435,2.991167,2.595268,2.563565,2.93612,2.458044,2.640063,4.978707,47.00836,47.764196,45.318415,42.807177
zh,qwen3_8b,gemma2_2b__hdpo,gemma2_2b,hdpo,model,4368,4355,13,3.53318,3.501722,3.573823,2.148335,3.459931,3.532032,3.663605,4.948565,61.683525,59.91217,60.074053,56.423651
zh,qwen3_8b,gemma2_2b__sft,gemma2_2b,sft,model,6357,6345,12,4.017021,3.89472,4.323562,3.741686,4.313948,4.290623,4.430102,4.992435,79.489204,76.380615,82.160165,79.403467
zh,qwen3_8b,llama32_3b__baselm,llama32_3b,baselm,model,6357,6340,17,3.675237,3.652208,3.970347,3.482177,3.981861,3.861356,3.999842,4.977918,71.533833,69.116916,73.427642,70.711356
zh,qwen3_8b,llama32_3b__dist_sft,llama32_3b,dist_sft,model,6357,6353,4,4.151267,4.034,4.379821,3.924445,4.366756,4.373682,4.490005,4.99213,81.890524,79.39202,84.096883,81.776326
zh,qwen3_8b,llama32_3b__dpo,llama32_3b,dpo,model,6357,6339,18,2.942735,2.954882,2.809118,2.672977,3.194668,2.839249,2.989273,4.963559,50.944589,49.490653,52.060656,48.854709
zh,qwen3_8b,llama32_3b__hdpo,llama32_3b,hdpo,model,3507,3502,5,3.153055,3.114506,3.189891,1.716733,3.042547,3.063392,3.193033,4.929754,51.900985,50.604298,49.495645,45.471159
zh,qwen3_8b,llama32_3b__sft,llama32_3b,sft,model,6357,6342,15,4.038158,3.899558,4.327499,3.728319,4.317723,4.296279,4.446705,4.997162,79.66915,76.571271,82.281023,79.488332
zh,qwen3_8b,qwen25_1_5b__baselm,qwen25_1_5b,baselm,model,6357,6344,13,3.475883,3.476356,3.798235,3.266078,3.778689,3.674338,3.864754,4.991488,67.13367,64.619522,69.077081,66.056904
zh,qwen3_8b,qwen25_1_5b__dist_sft,qwen25_1_5b,dist_sft,model,6357,6355,2,4.292054,4.178914,4.5155,4.053816,4.493784,4.490323,4.591188,4.995751,85.000747,82.697679,86.913651,84.827301
zh,qwen3_8b,qwen25_1_5b__dpo,qwen25_1_5b,dpo,model,6357,6352,5,3.456392,3.474024,3.553054,3.320529,3.793451,3.464893,3.614137,4.938917,65.195765,63.346977,66.731148,64.133737
zh,qwen3_8b,qwen25_1_5b__hdpo,qwen25_1_5b,hdpo,model,3398,3387,11,3.124594,3.137585,3.234426,1.644228,3.046058,3.072926,3.260998,4.932684,52.03853,50.453942,49.730588,45.580159
zh,qwen3_8b,qwen25_1_5b__sft,qwen25_1_5b,sft,model,6357,6344,13,4.26198,4.166772,4.523329,3.997478,4.491015,4.466425,4.588272,4.995271,84.625906,82.185924,86.539841,84.360419
zh,qwen3_8b,qwen25_3b__baselm,qwen25_3b,baselm,model,6357,6348,9,3.288595,3.29206,3.560649,3.128072,3.525992,3.427536,3.592628,4.994014,62.025441,60.126615,63.416824,60.416273
zh,qwen3_8b,qwen25_3b__dist_sft,qwen25_3b,dist_sft,model,6357,6355,2,4.379544,4.281983,4.577813,4.161605,4.536585,4.543666,4.639496,4.994335,86.735445,84.8214,88.259245,86.453186
zh,qwen3_8b,qwen25_3b__dpo,qwen25_3b,dpo,model,6357,6352,5,3.901134,3.927739,3.955447,3.741026,4.09745,3.868545,4.017632,4.953086,74.806872,73.68073,75.525819,73.686241
zh,qwen3_8b,qwen25_3b__hdpo,qwen25_3b,hdpo,model,3260,3243,17,3.019118,3.069072,3.131051,1.546408,2.927228,2.908418,3.128585,4.914894,49.434706,48.196886,46.651634,42.543941
zh,qwen3_8b,qwen25_3b__sft,qwen25_3b,sft,model,6357,6349,8,4.367774,4.30556,4.612222,4.138762,4.560561,4.512994,4.636636,4.99685,86.873484,84.955308,88.21527,86.410065
